PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7127802, -117.177175, 59, 2, 'Images/RouteBus_59_000_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:24:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7127802, -117.177175, 59, 2, 'Images/RouteBus_59_000_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:24:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7127802, -117.177175, 59, 2, 'Images/RouteBus_59_000_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:24:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7127802, -117.177175, 59, 2, 'Images/RouteBus_59_000_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:24:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7142282, -117.1759543, 59, 18, 'Images/RouteBus_59_020_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:25:06 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7142282, -117.1759543, 59, 18, 'Images/RouteBus_59_020_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:25:06 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7142282, -117.1759543, 59, 18, 'Images/RouteBus_59_020_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:25:06 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7142282, -117.1759543, 59, 18, 'Images/RouteBus_59_020_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:25:06 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7142282, -117.1759543, 59, 18, 'Images/RouteBus_59_020_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:25:06 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7149682, -117.1786388, 59, 293, 'Images/RouteBus_59_290_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:25:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7149682, -117.1786388, 59, 293, 'Images/RouteBus_59_290_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:25:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7149682, -117.1786388, 59, 293, 'Images/RouteBus_59_290_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:25:35 PM')]);
