PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7154007, -117.1814813, 60, 268, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:15:10 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7154007, -117.1814813, 60, 268, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:15:10 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7170167, -117.1828603, 60, 345, 'Images/RouteBus_60_350_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:15:36 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.717423, -117.1830213, 60, 344, 'Images/RouteBus_60_340_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:15:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.717423, -117.1830213, 60, 344, 'Images/RouteBus_60_340_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:15:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.717423, -117.1830213, 60, 344, 'Images/RouteBus_60_340_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:15:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.717423, -117.1830213, 60, 344, 'Images/RouteBus_60_340_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:15:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.717423, -117.1830213, 60, 344, 'Images/RouteBus_60_340_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:15:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.717423, -117.1830213, 60, 344, 'Images/RouteBus_60_340_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:15:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.720606, -117.1843995, 60, 343, 'Images/RouteBus_60_340_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:16:08 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.720606, -117.1843995, 60, 343, 'Images/RouteBus_60_340_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:16:08 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.720606, -117.1843995, 60, 343, 'Images/RouteBus_60_340_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:16:08 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.720606, -117.1843995, 60, 343, 'Images/RouteBus_60_340_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:16:08 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7208452, -117.1844983, 60, 12, 'Images/RouteBus_60_010_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:16:27 PM')]);
