PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733781, -117.2018625, 57, 270, 'Images/RouteBus_57_270_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:17:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733781, -117.2018625, 57, 270, 'Images/RouteBus_57_270_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:17:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733781, -117.2018625, 57, 270, 'Images/RouteBus_57_270_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:17:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733781, -117.2018625, 57, 270, 'Images/RouteBus_57_270_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:17:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733781, -117.2018625, 57, 270, 'Images/RouteBus_57_270_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:17:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7337323, -117.2085728, 57, 270, 'Images/RouteBus_57_270_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:17:33 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733312, -117.2088788, 57, 171, 'Images/RouteBus_57_170_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:17:42 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7329605, -117.2087887, 57, 188, 'Images/RouteBus_57_190_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:17:48 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7329605, -117.2087887, 57, 188, 'Images/RouteBus_57_190_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:17:48 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7329605, -117.2087887, 57, 188, 'Images/RouteBus_57_190_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:17:48 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7329638, -117.2086027, 57, 317, 'Images/RouteBus_57_320_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:18:02 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7333772, -117.208784, 57, 354, 'Images/RouteBus_57_350_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:18:11 PM')]);
